,url,publication_dt,byline,book_title,book_author,summary,uuid,uri,isbn13
34,http://www.nytimes.com/1983/04/12/books/books-of-the-times-093019.html,1983-04-12,,Christine,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780670220267']
35,http://www.nytimes.com/1983/10/21/books/books-of-the-times-243538.html,1983-10-21,,Pet Sematary,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780385182447']
36,http://www.nytimes.com/1985/06/09/books/don-t-turn-your-back-on-this-book.html,1985-06-09,SUSAN BOLOTIN,Skeleton Crew,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,
37,http://www.nytimes.com/1987/02/22/books/what-the-wicked-magician-did.html,1987-02-22,BARBARA TRITEL,The Eyes of the Dragon,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,
38,http://www.nytimes.com/1987/05/31/books/summer-reading-sheldon-gets-the-ax.html,1987-05-31,JOHN KATZENBACH,Misery,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780670813643']
39,http://www.nytimes.com/1987/06/08/books/books-of-the-times-301987.html,1987-06-08,,Misery,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780670813643']
40,http://www.nytimes.com/1987/11/05/books/books-of-the-times-950387.html,1987-11-05,,The Tommyknockers,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780399133145']
41,http://www.nytimes.com/1987/12/20/books/not-with-a-bang-but-an-eeeooooarrrhmm.html,1987-12-20,NINA AUERBACH,The Tommyknockers,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780399133145']
42,http://www.nytimes.com/1989/10/23/books/books-of-the-times-from-stephen-king-a-writer-s-demon.html,1989-10-23,,The Dark Half,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,
43,http://www.nytimes.com/1989/10/29/books/his-alter-ego-is-a-killer.html,1989-10-29,GEORGE STADE,The Dark Half,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,
44,http://www.nytimes.com/1991/09/29/books/avaunt-thee-recreant-cyborg.html,1991-09-29,RICHARD E. NICHOLLS,The Waste Lands: The Dark Tower Book III,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780452267404']
45,http://www.nytimes.com/1991/10/03/books/books-of-the-times-turning-favors-into-catastrophe.html,1991-10-03,,Needful Things: The Last Castle Rock Story,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780670839537']
46,http://www.nytimes.com/1994/10/06/books/books-of-the-times-lack-of-sleep-the-least-of-his-problems.html,1994-10-06,,"Insomnia,Stephen King Library Ed.",Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780670855032']
47,http://www.nytimes.com/1995/06/26/books/book-review-a-punch-in-the-nose-then-a-new-life-begins.html,1995-06-26,,Rose Madder,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780670858699']
48,http://www.nytimes.com/1998/09/21/books/books-of-the-times-death-terror-and-writer-s-block.html,1998-09-21,,Bag of Bones,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780684853505']
49,http://www.nytimes.com/1999/04/15/books/books-of-the-times-a-modern-fairy-tale-of-the-dark-north-woods.html,1999-04-15,,The Girl Who Loved Tom Gordon : A Novel,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780684867625']
50,http://www.nytimes.com/1999/05/16/books/books-in-brief-fiction-583618.html,1999-05-16,ANDREW ESSEX,The Girl Who Loved Tom Gordon : A Novel,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780684867625']
51,http://www.nytimes.com/2000/10/05/books/books-of-the-times-how-to-write-if-you-re-stephen-king.html,2000-10-05,JANET MASLIN,On Writing:  a Memoir of the Craft,Stephen King,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,"['9780606222549', '9780606231862', '9780671024253', '9780684853529', '9780743204361', '9780743211536', '9780743455961', '9780743563376', '9781416549864', '9781417647019', '9781439156810', '9781439193631', '9781441658869', '9781444723250', '9781848941083', '9781931208048']"
